lib_name,lib_code
B313日本哲学,B313
B313.2古代哲学,B313.2
B313.3封建时代哲学,B313.3
B313.4明治时代哲学,B313.4
B313.5现代哲学,B313.5
B313.7马克思主义哲学在日本的传播与发展,B313.7
B333越南哲学,B333
B351印度哲学,B351
B351.2古代哲学,B351.2
B351.3中古时期哲学,B351.3
B351.4近代哲学(1757~1947年),B351.4
B351.5现代哲学,B351.5
B351.7马克思主义哲学在印度的传播与发展,B351.7
B371阿拉伯哲学(总论),B371
B373伊朗哲学(波斯哲学),B373
B382以色列哲学,B382
B4非洲哲学,B4
B-49哲学学习与普及,B-49
B41北非哲学,B41
B411埃及哲学,B411
B5欧洲哲学,B5
B502古代哲学,B502
B502.1希腊奴隶制形成时期(公元前7~前6世纪),B502.1
B502.11爱奥尼亚学派,B502.11
B502.12米利都学派,B502.12
"B502.121泰勒斯(Thales,约公元前624~前547年)",B502.121
"B502.122阿那克西曼德(Anaxi-mandros,约公元前610~前546年)",B502.122
"B502.123阿那克西美尼(Anaxime-nes,公元前588~前525年)",B502.123
B502.13爱非斯学派,B502.13
B502.14毕达哥拉斯学派,B502.14
B502.15埃利亚学派,B502.15
"B502.151色诺芬尼(Xenophanes,公元前565~前473年)",B502.151
"B502.152巴门尼德(Parmenides,公元前6世纪末)",B502.152
"B502.153芝诺(Zenon,Eleaticus公元前490~前436年)",B502.153
B502.19其他,B502.19
B502.2希腊奴隶主民主制繁荣和衰落时期(公元前5~前4世纪),B502.2
B502.21古希腊唯物论哲学学派,B502.21
"B502.211阿那克萨哥拉(Anaxagoras,公元前500~前428年)",B502.211
"B502.212恩培多克勒(Empedokles,公元前490~前430年)",B502.212
"B502.213德谟克利特(Demokritos,约公元前460~前370年)",B502.213
B502.22智者派(诡辩派),B502.22
B502.23唯心论哲学学派,B502.23
"B502.231苏格拉底(Sokrates,公元前469~前399年)",B502.231
"B502.232柏拉图(Platon,公元前427~前347年)",B502.232
"B502.233亚里士多德(Aristoteles,公元前384~前322年)",B502.233
B502.24麦加拉学派,B502.24
B502.25犬儒学派,B502.25
B502.26昔勒尼学派(克兰尼学派),B502.26
B502.29其他,B502.29
B502.3希腊奴隶制危机和衰落时期(公元前336~前30年),B502.3
B502.31伊壁鸠鲁及其学派,B502.31
B502.32斯多亚派(画廊派),B502.32
B502.33怀疑论派,B502.33
B502.39其他,B502.39
B502.4古罗马哲学,B502.4
B502.41唯物论,B502.41
B502.42折衷主义,B502.42
B502.43新斯多亚派,B502.43
B502.44新柏拉图主义,B502.44
B502.49其他,B502.49
B503中世纪哲学,B503
B503.1教父哲学,B503.1
B503.2经院哲学,B503.2
"B503.21托马斯·阿奎那(Thomas,Aquinas,1225~1274年)",B503.21
"B503.22安瑟伦(Anselm,1033~1109年)",B503.22
"B503.23邓斯·司各脱(Duns Scotus,Jahahnes,1265~1308年)",B503.23
"B503.24奥卡姆(Occam,William,1300~1350年)",B503.24
B503.3神秘主义,B503.3
"B503.31爱克哈特(Eckhart,M.J.约1260~1327年)",B503.31
"B503.32亚克利巴(Agrippa,1486~1535年)",B503.32
"B503.33魏格尔(Weigel,V.1533~1588年)",B503.33
B503.9资本主义产生时期(文艺复兴时期，14~16世纪)哲学,B503.9
B503.91人文主义,B503.91
"B503.911佩脱拉克(Petrurca,F.1304~1374年)",B503.911
"B503.912薄伽丘(Boccaccio,Giovanni,1313~1375年)",B503.912
"B503.913彭波那齐(Pomponnazzi,Pietro,1462~1525年)",B503.913
